userId,pastorId,rating
1,2,5
1,19,5
1,34,5
2,39,1
2,18,4
2,2,5
2,15,4
2,13,3
2,8,3
3,21,3
3,12,4
3,9,5
4,33,4
4,5,4
4,28,5
5,17,3
5,5,4
5,37,5
5,39,5
5,16,4
5,31,4
6,32,3
6,37,4
6,9,3
6,31,3
7,4,3
7,37,5
7,22,3
7,9,5
7,5,5
8,13,5
8,34,5
8,25,5
8,15,5
8,36,5
8,29,5
9,13,5
9,18,3
9,32,4
9,36,4
9,19,5
9,25,5
10,17,4
10,28,5
10,26,4
10,33,5
10,31,4
11,1,4
11,17,2
11,9,5
11,12,4
11,23,2
11,20,2
12,2,5
12,5,5
12,27,5
12,30,3
12,29,3
12,18,4
12,31,3
13,33,4
13,34,4
13,13,4
13,12,5
14,34,4
14,28,3
14,25,5
14,12,4
15,29,3
15,10,3
15,21,4
15,23,3
15,13,5
15,35,3
15,16,4
16,39,5
16,38,3
16,31,5
16,7,4
16,24,4
16,30,5
16,6,5
17,13,5
17,8,5
17,15,5
17,19,3
17,36,5
17,34,3
17,25,5
18,37,4
18,12,4
18,24,4
18,39,4
18,25,3
18,11,3
18,33,4
19,29,3
19,9,5
19,27,4
19,15,3
19,22,3
19,5,5
19,24,4
20,13,5
20,25,5
20,26,5
20,33,4
20,12,3
20,15,4
21,28,5
21,26,4
21,16,5
21,3,4
22,12,5
22,33,5
22,28,4
22,32,3
22,25,3
22,13,4
23,12,5
23,17,2
23,26,1
24,32,4
24,28,4
24,1,2
24,36,3
24,6,2
24,14,3
24,38,5
25,12,4
25,35,3
25,37,4
26,37,1
26,4,4
26,13,3
26,30,4
27,14,5
27,15,2
27,11,5
27,31,5
27,19,4
27,37,5
27,10,4
28,9,4
28,30,5
28,4,5
28,29,4
29,17,5
29,7,5
29,31,5
29,23,5
29,20,5
30,19,3
30,27,2
30,14,5
30,16,2
30,22,4
30,13,4
31,32,5
31,33,5
31,9,3
31,24,4
31,7,4
32,7,4
32,13,4
32,38,4
32,35,3
32,27,5
32,19,3
32,15,4
33,14,5
33,9,4
33,35,5
33,25,5
33,13,4
33,8,5
33,22,3
34,24,3
34,12,5
34,34,4
34,15,4
34,29,3
34,13,5
34,20,4
35,20,5
35,18,5
35,29,4
35,19,4
35,2,4
36,32,4
36,12,4
36,14,5
36,34,4
36,15,3
36,19,3
37,35,5
37,19,4
37,17,4
37,8,5
37,13,5
37,10,4
37,7,4
38,24,3
38,2,3
38,14,4
38,37,4
38,12,3
38,5,3
