pastorId,pastorName,traits
1,Craig Groeschel,Topic-based|Bible view: Strict inerrancy|Non-charismatic|Practical|Energetic|Newcomer-friendly|Worship: Band-led|Short sermons
2,Beth Moore,Verse-by-verse|Bible view: Strict inerrancy|Non-charismatic|Practical|Energetic|Member-focused|Worship: Band-led|Long sermons
3,Steven Furtick,Topic-based|Bible view: Strict inerrancy|Charismatic|Practical|Energetic|Newcomer-friendly|Worship: Band-led|Long sermons
4,Andy Stanley,Topic-based|Bible view: Strict inerrancy|Non-charismatic|Practical|Energetic|Newcomer-friendly|Worship: Band-led|Short sermons
5,Rick Warren,Topic-based|Bible view: Strict inerrancy|Non-charismatic|Practical|Calm|Newcomer-friendly|Worship: Band-led|Short sermons
6,Joel Osteen,Topic-based|Bible view: Strict inerrancy|Charismatic|Practical|Energetic|Newcomer-friendly|Worship: Band-led|Short sermons
7,T.D. Jakes,Topic-based|Bible view: Strict inerrancy|Charismatic|Practical|Energetic|Newcomer-friendly|Worship: Band-led|Long sermons
8,John Piper,Verse-by-verse|Bible view: Strict inerrancy|Charismatic|Deep teaching|Calm|Member-focused|Worship: Band-led|Long sermons
9,Joyce Meyer,Topic-based|Bible view: Strict inerrancy|Charismatic|Practical|Energetic|Newcomer-friendly|Worship: Band-led|Short sermons
10,Francis Chan,Verse-by-verse|Bible view: Strict inerrancy|Charismatic|Practical|Energetic|Member-focused|Worship: Band-led|Long sermons
11,Louie Giglio,Topic-based|Bible view: Strict inerrancy|Charismatic|Practical|Energetic|Newcomer-friendly|Worship: Band-led|Long sermons
12,Robert Barron,Verse-by-verse|Bible view: Salvation-scope inerrancy|Non-charismatic|Deep teaching|Calm|Member-focused|Worship: Hymns/Choir-led|Short sermons
13,Alistair Begg,Verse-by-verse|Bible view: Strict inerrancy|Non-charismatic|Deep teaching|Calm|Member-focused|Worship: Hymns/Choir-led|Long sermons
14,Matt Chandler,Verse-by-verse|Bible view: Strict inerrancy|Charismatic|Deep teaching|Energetic|Member-focused|Worship: Band-led|Long sermons
15,John MacArthur,Verse-by-verse|Bible view: Strict inerrancy|Non-charismatic|Deep teaching|Calm|Member-focused|Worship: Hymns/Choir-led|Long sermons
16,Mark Batterson,Topic-based|Bible view: Strict inerrancy|Charismatic|Practical|Energetic|Newcomer-friendly|Worship: Band-led|Short sermons
17,Michael Todd,Topic-based|Bible view: Strict inerrancy|Charismatic|Practical|Energetic|Newcomer-friendly|Worship: Band-led|Long sermons
18,Greg Laurie,Verse-by-verse|Bible view: Strict inerrancy|Charismatic|Practical|Energetic|Newcomer-friendly|Worship: Band-led|Long sermons
19,Jack Hibbs,Verse-by-verse|Bible view: Strict inerrancy|Charismatic|Deep teaching|Energetic|Member-focused|Worship: Band-led|Long sermons
20,Robert Morris,Topic-based|Bible view: Strict inerrancy|Charismatic|Practical|Energetic|Newcomer-friendly|Worship: Band-led|Long sermons
21,Jentezen Franklin,Topic-based|Bible view: Strict inerrancy|Charismatic|Practical|Energetic|Newcomer-friendly|Worship: Band-led|Long sermons
22,Christine Caine,Topic-based|Bible view: Strict inerrancy|Charismatic|Practical|Energetic|Newcomer-friendly|Worship: Band-led|Long sermons
23,Nick Vujicic,Topic-based|Bible view: Strict inerrancy|Charismatic|Practical|Energetic|Newcomer-friendly|Worship: Band-led|Long sermons
