pastorId,pastorName,traits,church_Name,address,website,contact,youTube
41,Craig Groeschel,Practical everyday life application | Warm and conversational | Contemporary | Male pastor | Topical | Mixed | Open-but-cautious | Low-church | Medium (25-40m) | Weekly altar call | Monthly/Quarterly | Congregational (local autonomy) | Mixed/transitioning | Mega/Multisite (2000+) | Small-groups centric | Seeker-sensitive | Call-and-response,Life.Church,"4400 E 2nd St, Edmond, OK 73034",https://www.life.church,https://www.life.church/contact,https://www.youtube.com/@life.church
42,Beth Moore,Practical everyday life application | Warm and conversational | Contemporary | Female pastor | Topical | Mixed | Open-but-cautious | Low-church | Medium (25-40m) | Occasional | Occasional | Congregational (local autonomy) | Egalitarian | Mid (200-1000) | Classes/courses | Hybrid | Steady monologue,Living Proof Ministries,,https://www.lproof.org/,https://www.lproof.org/contact,https://www.youtube.com/channel/UCd1k3z9-5KjNf8WQyqV7e9A
43,Steven Furtick,"Practical, everyday life application | Passionate and high-energy | Contemporary | Male pastor | Topical | Mixed | Continuationist | Low-church | Long (>40m) | Weekly altar call | Monthly/Quarterly | Congregational (local autonomy) | Mixed/transitioning | Mega/Multisite (2000+) | Small-groups centric | Seeker-sensitive | Call-and-response",Elevation Church,"6105 Albemarle Rd, Charlotte, NC 28212",https://www.elevationchurch.org/,https://www.elevationchurch.org/connect/,https://www.youtube.com/@elevationchurch
44,Andy Stanley,"Practical, everyday life application | Warm and conversational | Contemporary | Male pastor | Topical | Mixed | Open-but-cautious | Low-church | Medium (25-40m) | Occasional | Monthly/Quarterly | Congregational (local autonomy) | Mixed/transitioning | Mega/Multisite (2000+) | Small-groups centric | Seeker-sensitive | Steady monologue",North Point Community Church,"4600 North Point Pkwy, Alpharetta, GA 30022",https://northpoint.org/,https://northpoint.org/contact/,https://www.youtube.com/@NorthPointCommunityChurch
45,Rick Warren,"Practical, everyday life application | Warm and conversational | Contemporary | Male pastor | Topical | Mixed | Open-but-cautious | Low-church | Medium (25-40m) | Weekly altar call | Monthly/Quarterly | Congregational (local autonomy) | Egalitarian | Mega/Multisite (2000+) | Small-groups centric | Seeker-sensitive | Call-and-response",Saddleback Church,"1 Saddleback Pkwy, Lake Forest, CA 92630",https://saddleback.com/,https://saddleback.com/contact/,https://www.youtube.com/@saddlebackchurch
46,Joel Osteen,"Practical, everyday life application | Passionate and high-energy | Contemporary | Male pastor | Topical | Mixed | Continuationist | Low-church | Medium (25-40m) | Weekly altar call | Monthly/Quarterly | Congregational (local autonomy) | Egalitarian | Mega/Multisite (2000+) | From-the-pulpit | Seeker-sensitive | Call-and-response",Lakewood Church,"3700 Southwest Fwy, Houston, TX 77027",https://www.lakewoodchurch.com/,https://www.lakewoodchurch.com/contact/,https://www.youtube.com/@JoelOsteen
47,T.D. Jakes,"Practical, everyday life application | Passionate and high-energy | Contemporary | Male pastor | Topical | Arminian/Wesleyan | Continuationist | Low-church | Long (>40m) | Weekly altar call | Monthly/Quarterly | Episcopal (bishops) | Egalitarian | Mega/Multisite (2000+) | Small-groups centric | Seeker-sensitive | Call-and-response",The Potter's House,"6777 Montgomery Rd, Dallas, TX 75214",https://tdjakes.org/,https://tdjakes.org/contact/,https://www.youtube.com/@tdjakes
48,John Piper,"Deep, verse-by-verse Scripture teaching | Calm and reflective | Traditional | Male pastor | Expository | Reformed/Calvinist | Continuationist | Low-church | Long (>40m) | Rare/none | Monthly/Quarterly | Congregational (local autonomy) | Complementarian | Mid (200-1000) | Small-groups centric | Church-family-oriented | Steady monologue",Desiring God,"Minneapolis, MN (Desiring God based)",https://www.desiringgod.org/,https://www.desiringgod.org/about/,https://www.youtube.com/@desiringgod
49,Joyce Meyer,"Practical, everyday life application | Warm and conversational | Contemporary | Female pastor | Topical | Mixed | Continuationist | Low-church | Medium (25-40m) | Weekly altar call | Occasional | Congregational (local autonomy) | Egalitarian | Mega/Multisite (2000+) | From-the-pulpit | Seeker-sensitive | Call-and-response",Joyce Meyer Ministries,"Enterprise, MO (HQ)",https://joycemeyer.org/,https://joycemeyer.org/contact/,https://www.youtube.com/@JoyceMeyerMinistriesOfficial
50,Francis Chan,"Deep, verse-by-verse Scripture teaching | Passionate and high-energy | Contemporary | Male pastor | Blend | Mixed | Continuationist | Low-church | Long (>40m) | Occasional | Monthly/Quarterly | Congregational (local autonomy) | Complementarian | Mid (200-1000) | Small-groups centric | Hybrid | Steady monologue",We Are Church / Cornerstone,,https://www.francischan.org/,https://www.francischan.org/contact/,https://www.youtube.com/c/FrancisChan
51,Louie Giglio,A balance of both | Passionate and high-energy | Contemporary | Male pastor | Blend | Mixed | Open-but-cautious | Low-church | Medium (25-40m) | Occasional | Monthly/Quarterly | Congregational (local autonomy) | Mixed/transitioning | Mega/Multisite (2000+) | Small-groups centric | Hybrid | Call-and-response,Passion City Church,"5701 Peachtree Rd, Atlanta, GA 30342 (approx)",https://passioncitychurch.com/,https://passioncitychurch.com/contact/,https://www.youtube.com/@passioncitychurch
52,Robert Barron,"Deep, verse-by-verse Scripture teaching | Calm and reflective | Traditional | Male pastor | Blend | Mixed | Open-but-cautious | High-church | Short (<25m) | Rare/none | Weekly | Episcopal (bishops) | Complementarian | Mid (200-1000) | Classes/courses | Church-family-oriented | Call-and-response",Word on Fire,"Chicago, IL (Word on Fire HQ)",https://www.wordonfire.org/,https://www.wordonfire.org/contact/,https://www.youtube.com/@wordonfire
53,Alistair Begg,"Deep, verse-by-verse Scripture teaching | Calm and reflective | Traditional | Male pastor | Expository | Reformed/Calvinist | Cessationist | Low-church | Long (>40m) | Rare/none | Monthly/Quarterly | Congregational (local autonomy) | Complementarian | Mid (200-1000) | Small-groups centric | Church-family-oriented | Steady monologue",Parkside Church / Truth For Life,"1113 Old River Rd, Glenwillow, OH 44139 (Parkside)",https://parksidechurch.com/,https://parksidechurch.com/contact/,https://www.youtube.com/@TruthForLife
